TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,,,,,,,,,,,,,,
(hh:mm:ss),ALL,LINE 4,LINE 5,ALL,LINE 4,LINE 5,,,,,,,,,,,,,,,
6:18:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:19:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:20:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:21:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:22:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:23:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:24:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:25:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:26:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:27:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:28:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:29:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:30:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:31:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:32:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:33:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:34:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:35:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:36:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:37:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:38:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:39:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:40:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:41:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:42:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:43:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:44:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:45:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:46:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:47:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:48:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:49:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
6:50:00,7,7,0,157,156,1,,,,,,,,,,,,,,,
