TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,,,,,,,,,,,,,,,,,
(hh:mm:ss),ALL,LINE 1A,LINE 1B,ALL,LINE 1A,LINE 1B,,,,,,,,,,,,,,,,,,
4:56:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:57:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:58:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
4:59:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:00:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:01:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:02:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:03:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:04:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:05:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:06:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:07:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:08:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:09:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:10:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:11:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:12:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:13:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:14:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:15:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:16:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:17:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:18:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:19:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:20:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:21:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:22:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:23:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:24:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:25:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:26:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:27:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:28:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:29:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:30:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:31:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:32:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:33:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:34:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:35:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:36:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:37:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:38:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:39:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:40:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:41:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:42:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:43:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:44:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:45:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:46:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:47:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:48:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:49:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:50:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:51:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:52:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:53:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:54:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:55:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:56:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:57:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:58:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
5:59:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:00:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:01:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:02:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:03:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:04:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:05:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:06:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:07:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:08:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:09:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:10:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:11:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:12:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:13:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:14:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:15:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:16:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:17:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:18:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:19:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:20:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:21:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:22:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:23:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:24:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:25:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:26:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:27:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:28:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:29:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:30:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:31:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:32:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:33:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:34:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:35:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:36:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:37:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:38:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:39:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:40:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:41:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:42:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:43:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:44:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:45:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:46:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:47:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:48:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:49:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:50:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:51:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:52:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
6:53:00,0,0,0,51,26,25,,,,,,,,,,,,,,,,,,
