Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,WorkerG,Worker,Priority
Finished,83 hr 2 min,ENWA-240009,Producton Low Risk,MNT-00004120,1900254,WRKO-00004946,ฝาพนังล็อกเก้อชายฝั่งดิบชำรุด,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,119 hr 0 min,ENWA-240009,Producton Low Risk,MNT-00004122,1900175,WRKO-00004947,แก้ไขพื้นทางเข้าแตกและมีรอยเท้า ฝั่งดิบ,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,291 hr 58 min,ENWA-240009,Producton Low Risk,MNT-00004123,1900175,WRKO-00004948,แก้ไขมุมทางขึ้น Cooking แตก ฝั่งดิบ,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,291 hr 54 min,ENWA-240009,Producton Low Risk,MNT-00004124,1900175,WRKO-00004953,แก้ไขขอบบัวห้อง WIP แตก ฝั่งดิบ,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,291 hr 52 min,ENWA-240009,Producton Low Risk,MNT-00004126,1900175,WRKO-00004955,แก้ไขวงกบประตูห้องผักผุกร่อน ฝั่งดิบ,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,291 hr 50 min,ENWA-240009,Producton Low Risk,MNT-00004127,1900175,WRKO-00004956,แก้ไขพื้นปูนห้องผักสีลอก ฝั่งดิบ,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,122 hr 49 min,ENWA-240009,Producton Low Risk,MNT-00004128,1900175,WRKO-00004957,แก้ไขพื้นห้อง Chill3 แตก,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,419 hr 46 min,ENWA-240009,Producton Low Risk,MNT-00004130,1900175,WRKO-00004959,แก้ไขพื้นปูร่อนห้อง Cooking ฝั่งดิบ,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,291 hr 43 min,ENWA-240009,Producton Low Risk,MNT-00004131,1900175,WRKO-00004960,แก้ไขขอบบัวแตกมุมประตู ข้างเครื่องทำน้ำแข็ง ฝั่งดิบ,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,82 hr 41 min,ENWA-240009,Producton Low Risk,MNT-00004132,1900175,WRKO-00004961,แก้ไขขอบประตูช่องส่งขยะเป็นสนิม ฝั่งดิบ,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,121 hr 40 min,ENWA-240009,Producton Low Risk,MNT-00004133,1900175,WRKO-00004962,แก้ไขพื้นแตกห้องล้างฝั่งดิบ,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,120 hr 39 min,ENWA-240009,Producton Low Risk,MNT-00004134,1900175,WRKO-00004963,แก้ไขพื้นหน้า Cold6 ชำรุด,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,393 hr 7 min,ENWA-240009,Producton Low Risk,MNT-00004135,1900175,WRKO-00004964,แก้ไขพื้นแตก blast chill 1 ฝั่งสุก,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,182 hr 28 min,ENWA-240009,Producton Low Risk,MNT-00004140,1900175,WRKO-00004969,ขอบที่จับประตูห้องPreparation3และห้องTumblingเป็นสนิม,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,121 hr 26 min,ENWA-240009,Producton Low Risk,MNT-00004141,1900175,WRKO-00004970,แก้ไขฝ้าเหนือ Round batt pan เป็นสนิม,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,224 hr 25 min,ENWA-240009,Producton Low Risk,MNT-00004142,1900175,WRKO-00004971,แก้ไขคราบน้ำไหลลงมาท่อฮูด Battpan1,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,51 hr 45 min,ENWA-240009,Producton Low Risk,MNT-00004156,1900175,WRKO-00004978,ซ่อมโทลเล่ย์ชำรุด ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,50 hr 41 min,ENWA-240009,Producton Low Risk,MNT-00004157,1900175,WRKO-00004979,แก้ไขรถล้างผักล้อหลุด ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,11 hr 10 min,ENWA-240009,Producton Low Risk,MNT-00004162,1900118,WRKO-00004992,ปลั๊กไม่มีไฟ,Work Area,Electrical system,Inspection,ENG,"",1
Finished,31 hr 40 min,ENWA-240009,Producton Low Risk,MNT-00004164,1900175,WRKO-00004983,แก้ไขพัดลมระบายอากาศห้องล้างฝั่งดิบด้านหลัง,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,30 hr 39 min,ENWA-240009,Producton Low Risk,MNT-00004165,1900175,WRKO-00004984,ติดตั้งอุปกรณ์ห้องล้างเก่า ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,89 hr 24 min,ENWA-240009,Producton Low Risk,MNT-00004174,1900175,WRKO-00004995,แก้ไขไฟหน้าทางเดินไลน์ฝั่งดิบไม่ติด RL-042,Work Area,Electrical system,Inspection,ENG,"",4
Finished,345 hr 31 min,ENWA-240009,Producton Low Risk,MNT-00004176,1900175,WRKO-00004997,แก้ไขท่ออ่างล้างมือห้องเตรียมปลาฝั่งดิบ น้ำรั่ว,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,203 hr 42 min,ENWA-240009,Producton Low Risk,MNT-00004178,1900175,WRKO-00004999,ขอบประตูหน้าห้องผักฝั่งดิบแตกเป็นรู,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,203 hr 37 min,ENWA-240009,Producton Low Risk,MNT-00004179,1900175,WRKO-00005000,แก้ไขพื้นในห้อง  chill room3ฝั่งดิบพื้นหลุดทั้งห้อง,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,203 hr 24 min,ENWA-240009,Producton Low Risk,MNT-00004180,1900175,WRKO-00005001,แก้ไขสีขอบบัวหลุดร่อนในห้องผักฝั่งดิบ,Work Area,ฺBuilding,Inspection,ENG,"",4
Finished,107 hr 22 min,ENWA-240009,Producton Low Risk,MNT-00004181,1900175,WRKO-00005002,ล้างพัดลมดูดอากาศข้างตู้น้ำแข็งเก่า ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,373 hr 21 min,ENWA-240009,Producton Low Risk,MNT-00004182,1900175,WRKO-00005003,แก้ไขช่องดูดอากาศห้องเตรียมปลาเป็นสนิม ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,ENG,"",4
Finished,74 hr 37 min,ENWA-240009,Producton Low Risk,MNT-00004183,1900175,WRKO-00005004,แก้ไขไฟไม่ติด หน้าห้อง Fish defrost room,Work Area,Electrical system,Inspection,ENG,"",4
Finished,117 hr 32 min,ENWA-240009,Producton Low Risk,MNT-00004184,1900175,WRKO-00005005,แก้ไขซ่อมไฟไม่ติดห้อง Chicken Equipment Room,Work Area,Electrical system,Inspection,ENG,"",4
Finished,257 hr 11 min,ENWA-240009,Producton Low Risk,MNT-00004185,1900175,WRKO-00005006,แก้ไขม่านประตูขาด ห้อง Chicken Defrost Room,Work Area,Tool and Equipment,Inspection,ENG,"",4
