Request State,TTR(hr),Machine ID,Machine Name,Request ID,Requester,WO ID,Description,Location,JobTrade,JobTypeId,Responsible,WorkerG,Priority,Month,Day,Month,Day
Finished,,ENWA-240008,Producton High Risk,MNT-00004298,1900231,WRKO-00005139,ต่อลม ต่อเครื่อง Mobile ของ Ecolap  พ่นน้ำยาฆ่า,Work Area,Tool and Equipment,Inspection,"",HRGA,1,January,22,January,17
Finished,,ENUT-240182,Condencer Unit No.24 (COLD6),MNT-00004433,1900231,WRKO-00005296,ต่อท่อเดน ร้อยสายฮีทเตอร์ Cold 6,Buiding1,Cooling machine,Inspection,"",ENG,1,February,14,February,12
Finished,,ENWA-240009,Producton Low Risk,MNT-00004476,1900175,WRKO-00005342,ตรวจสอบตู้Air shower ตู้ 2  มีน้ำไหล ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,"",ENG,4,February,23,February,20
Finished,7 hr 57 min,ENWA-240009,Producton Low Risk,MNT-00004480,1900175,WRKO-00005346,ตรวจสอบเครื่องrobot coupeมอเตอร์ร้อน ทำให้เครื่องดับ ฝั่งดิบ,Work Area,Production Machine,Inspection,"",ENG,4,February,23,February,23
Finished,228 hr 34 min,ENWA-240009,Producton Low Risk,MNT-00004271,1900175,WRKO-00005106,ซ่อมหูหม้อชำรุด3ใบ ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,17,January,26
Finished,,ENWA-240008,Producton High Risk,MNT-00004197,1900175,WRKO-00005024,ซ่อมหลอดไฟในholding ชำรุดหลายหลอด,Work Area,Electrical system,Inspection,"",ENG,4,January,12,January,2
Finished,,ENUT-240127,Condencer Unit No.9 (COLD5),MNT-00004390,1900231,WRKO-00005253,ซ่อมรอยรั่ว Cold room 5,Buiding1,Cooling machine,Inspection,"",ENG,1,February,9,February,7
Finished,51 hr 45 min,ENWA-240009,Producton Low Risk,MNT-00004156,1900175,WRKO-00004978,ซ่อมโทลเล่ย์ชำรุด ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,7,January,9
Finished,6 hr 28 min,ENWA-240009,Producton Low Risk,MNT-00004452,1900175,WRKO-00005313,ขันยูเนียนที่หม้อBran Pan4,Work Area,Production Machine,Inspection,"",ENG,4,February,17,February,17
Finished,203 hr 42 min,ENWA-240009,Producton Low Risk,MNT-00004178,1900175,WRKO-00004999,ขอบประตูหน้าห้องผักฝั่งดิบแตกเป็นรู,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,10,January,18
Finished,182 hr 28 min,ENWA-240009,Producton Low Risk,MNT-00004140,1900175,WRKO-00004969,ขอบที่จับประตูห้องPreparation3และห้องTumblingเป็นสนิม,Work Area,ฺBuilding,Inspection,"",ENG,4,January,6,January,13
Finished,,ENWA-240009,Producton Low Risk,MNT-00004548,1900254,WRKO-00005415,ก็อกห้องน้ำชายฝั่งดิบหลุด,Work Area,Tool and Equipment,Inspection,"",ENG,4,March,2,February,27
Finished,33 hr 44 min,ENWA-240009,Producton Low Risk,MNT-00004238,1900254,WRKO-00005068,ก๊อกน้ำตรงลานโหลดเล็กฝั่งดิบก๊อกปิดไม่สนิดมีน้ำไหลออกมา,Work Area,Tool and Equipment,Inspection,"",ENG,4,January,14,January,15
Finished,119 hr 5 min,ENWA-240009,Producton Low Risk,MNT-00004519,1900175,WRKO-00005386,ไฟห้องcookingไฟเสีย2หลอด RL093กับLR331 ฝั่งดิบ,Work Area,Electrical system,Inspection,"",ENG,4,February,26,March,3
Finished,167 hr 56 min,ENWA-240004,Store Office,MNT-00004106,1900132,WRKO-00004919,ไฟลานโหลดใหญ่ฝั่งดิบเสีย,Work Area,Electrical system,Inspection,1900003,ENG,1,January,6,January,13
Finished,24 hr 20 min,ENWA-240002,Front Office,MNT-00004394,1900254,WRKO-00005258,ไฟไม่ติดตรงหน้าห้องน้ำR&D,Work Area,Electrical system,Inspection,"",ENG,4,February,9,February,10
Finished,,ENWA-240009,Producton Low Risk,MNT-00004491,1900175,WRKO-00005359,ไขน๊อตเครื่องหั่นผัก น็อตหลุดออกจากตัวยึดสายพาน ฝั่งดิบ,Work Area,Production Machine,Inspection,"",ENG,4,February,25,February,24
Finished,,ENWA-240009,Producton Low Risk,MNT-00004376,1900175,WRKO-00005233,ใส่น๊อตล้อรถTrolley ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,"",ENG,4,February,6,February,5
Finished,,ENWA-240009,Producton Low Risk,MNT-00004484,1900175,WRKO-00005350,ใส่น็อตยึดรถTrolley ฝั่งดิบ,Work Area,Tool and Equipment,Inspection,"",ENG,4,February,23,February,22
Finished,63 hr 23 min,ENPD-240027,Bratt pan No.3,MNT-00004486,1900175,WRKO-00005352,ใส่น็อตฝาปิดเตา bratt pan 3 ฝั่งดิบ,Production Plant1,Production Machine,Inspection,"",ENG,4,February,23,February,25
Finished,55 hr 7 min,ENWA-240017,Canteen,MNT-00004215,1900254,WRKO-00005042,แอร์สองตัวที่โรงอาหารฝั่งสุกมีน้ำหยด,Work Area,Air Condition,Inspection,"",ENG,4,January,12,January,14
Finished,182 hr 28 min,ENUT-240117,Evapperator CDU5-UC5.3,MNT-00004249,1900175,WRKO-00005078,แอร์ UC-5.3 พัดลมแอร์อีกด้านไม่ทำงาน/ฝั่งดิบ,Buiding1,Tool and Equipment,Inspection,"",ENG,4,January,16,January,23
Finished,104 hr 15 min,ENWA-240004,Store Office,MNT-00004267,1900271,WRKO-00005103,แจ้งซ่อมหลอดไฟเสีย 2 หลอด ที่ห้องเก็บกล่องสโตร์,Work Area,Electrical system,Inspection,"",ENG,1,January,16,January,20
Finished,12 hr 47 min,ENWA-240010,Producton Medium Risk,MNT-00004264,1900123,WRKO-00005100,แจ้งซ่อมหลอดไฟCold4 ครับ,Work Area,Electrical system,Inspection,"",ENG,3,January,16,January,16
Finished,31 hr 1 min,ENPD-240028,Round bratt pan No.1,MNT-00004094,1900224,WRKO-00004909,แจ้งซ่อมหม้อ Round bratt pan (sensor เสีย),Production Plant1,Production Machine,Inspection,"",ENG,4,January,3,January,4
Finished,326 hr 5 min,ENWA-240009,Producton Low Risk,MNT-00004093,1900175,WRKO-00004908,แจ้งซ่อมหม้อ Bratt. Pan2 กับ Bratt. Pan4 วาล์วเปิดปิดสตรีมรั,Work Area,Production Machine,Inspection,"",ENG,4,January,3,January,16
