Timestamp,FIT-103-ROWaterSupply_Total(m³)
25-Jan-26 7:00:00 PM ICT,367.0
25-Jan-26 8:00:00 PM ICT,367.0
25-Jan-26 9:00:00 PM ICT,367.0
25-Jan-26 10:00:00 PM ICT,367.0
25-Jan-26 11:00:00 PM ICT,367.0
26-Jan-26 12:00:00 AM ICT,367.0
26-Jan-26 1:00:00 AM ICT,367.0
26-Jan-26 2:00:00 AM ICT,367.0
26-Jan-26 3:00:00 AM ICT,367.0
26-Jan-26 4:00:00 AM ICT,367.0
26-Jan-26 5:00:00 AM ICT,367.0
26-Jan-26 6:00:00 AM ICT,367.0
26-Jan-26 7:00:00 AM ICT,367.0
26-Jan-26 8:00:00 AM ICT,367.0
26-Jan-26 9:00:00 AM ICT,367.0
26-Jan-26 10:00:00 AM ICT,367.0
26-Jan-26 11:00:00 AM ICT,367.0
26-Jan-26 12:00:00 PM ICT,367.0
26-Jan-26 1:00:00 PM ICT,367.0
26-Jan-26 2:00:00 PM ICT,367.0
26-Jan-26 3:00:00 PM ICT,367.0
26-Jan-26 4:00:00 PM ICT,367.0
26-Jan-26 5:00:00 PM ICT,367.0
26-Jan-26 6:00:00 PM ICT,367.0
26-Jan-26 7:00:00 PM ICT,367.0
26-Jan-26 8:00:00 PM ICT,367.0
26-Jan-26 9:00:00 PM ICT,367.0
26-Jan-26 10:00:00 PM ICT,367.0
26-Jan-26 11:00:00 PM ICT,367.0
27-Jan-26 12:00:00 AM ICT,367.0
27-Jan-26 1:00:00 AM ICT,367.0
27-Jan-26 2:00:00 AM ICT,367.0
27-Jan-26 3:00:00 AM ICT,367.0
27-Jan-26 4:00:00 AM ICT,367.0
27-Jan-26 5:00:00 AM ICT,367.0
27-Jan-26 6:00:00 AM ICT,367.3
27-Jan-26 7:00:00 AM ICT,368.0
27-Jan-26 8:00:00 AM ICT,368.0
27-Jan-26 9:00:00 AM ICT,368.0
27-Jan-26 10:00:00 AM ICT,368.0
27-Jan-26 11:00:00 AM ICT,368.0
27-Jan-26 12:00:00 PM ICT,368.0
27-Jan-26 1:00:00 PM ICT,368.3
27-Jan-26 2:00:00 PM ICT,369.0
27-Jan-26 3:00:00 PM ICT,369.0
27-Jan-26 4:00:00 PM ICT,369.0
27-Jan-26 5:00:00 PM ICT,369.0
27-Jan-26 6:00:00 PM ICT,369.0
27-Jan-26 7:00:00 PM ICT,369.0
27-Jan-26 8:00:00 PM ICT,369.0
27-Jan-26 9:00:00 PM ICT,369.0
27-Jan-26 10:00:00 PM ICT,369.0
27-Jan-26 11:00:00 PM ICT,369.0
28-Jan-26 12:00:00 AM ICT,369.0
28-Jan-26 1:00:00 AM ICT,369.0
28-Jan-26 2:00:00 AM ICT,369.0
28-Jan-26 3:00:00 AM ICT,369.0
28-Jan-26 4:00:00 AM ICT,369.0
28-Jan-26 5:00:00 AM ICT,369.0
28-Jan-26 6:00:00 AM ICT,369.0
28-Jan-26 7:00:00 AM ICT,369.8
28-Jan-26 8:00:00 AM ICT,370.8
28-Jan-26 9:00:00 AM ICT,372.8
28-Jan-26 10:00:00 AM ICT,375.8
28-Jan-26 11:00:00 AM ICT,376.3
28-Jan-26 12:00:00 PM ICT,377.0
28-Jan-26 1:00:00 PM ICT,378.5
28-Jan-26 2:00:00 PM ICT,383.5
28-Jan-26 3:00:00 PM ICT,386.0
28-Jan-26 4:00:00 PM ICT,386.8
28-Jan-26 5:00:00 PM ICT,387.0
28-Jan-26 6:00:00 PM ICT,387.0
28-Jan-26 7:00:00 PM ICT,387.0
28-Jan-26 8:00:00 PM ICT,387.0
28-Jan-26 9:00:00 PM ICT,388.0
28-Jan-26 10:00:00 PM ICT,388.0
28-Jan-26 11:00:00 PM ICT,388.0
29-Jan-26 12:00:00 AM ICT,388.0
29-Jan-26 1:00:00 AM ICT,388.0
29-Jan-26 2:00:00 AM ICT,388.0
29-Jan-26 3:00:00 AM ICT,388.0
29-Jan-26 4:00:00 AM ICT,388.0
29-Jan-26 5:00:00 AM ICT,388.0
29-Jan-26 6:00:00 AM ICT,388.0
29-Jan-26 7:00:00 AM ICT,389.0
29-Jan-26 8:00:00 AM ICT,392.8
29-Jan-26 9:00:00 AM ICT,393.0
29-Jan-26 10:00:00 AM ICT,394.8
29-Jan-26 11:00:00 AM ICT,395.0
29-Jan-26 12:00:00 PM ICT,396.8
29-Jan-26 1:00:00 PM ICT,397.3
29-Jan-26 2:00:00 PM ICT,398.0
29-Jan-26 3:00:00 PM ICT,398.0
29-Jan-26 4:00:00 PM ICT,400.0
29-Jan-26 5:00:00 PM ICT,400.0
29-Jan-26 6:00:00 PM ICT,400.0
29-Jan-26 7:00:00 PM ICT,401.3
29-Jan-26 8:00:00 PM ICT,404.0
29-Jan-26 9:00:00 PM ICT,407.3
29-Jan-26 10:00:00 PM ICT,410.5
29-Jan-26 11:00:00 PM ICT,413.5
30-Jan-26 12:00:00 AM ICT,416.0
30-Jan-26 1:00:00 AM ICT,417.0
30-Jan-26 2:00:00 AM ICT,417.5
30-Jan-26 3:00:00 AM ICT,418.0
30-Jan-26 4:00:00 AM ICT,418.0
30-Jan-26 5:00:00 AM ICT,418.0
30-Jan-26 6:00:00 AM ICT,418.0
30-Jan-26 7:00:00 AM ICT,419.8
30-Jan-26 8:00:00 AM ICT,422.0
30-Jan-26 9:00:00 AM ICT,422.5
30-Jan-26 10:00:00 AM ICT,423.8
30-Jan-26 11:00:00 AM ICT,424.8
30-Jan-26 12:00:00 PM ICT,425.0
30-Jan-26 1:00:00 PM ICT,426.0
30-Jan-26 2:00:00 PM ICT,427.0
30-Jan-26 3:00:00 PM ICT,427.8
30-Jan-26 4:00:00 PM ICT,428.0
30-Jan-26 5:00:00 PM ICT,429.0
30-Jan-26 6:00:00 PM ICT,429.0
30-Jan-26 7:00:00 PM ICT,429.0
30-Jan-26 8:00:00 PM ICT,429.0
30-Jan-26 9:00:00 PM ICT,429.0
30-Jan-26 10:00:00 PM ICT,429.0
30-Jan-26 11:00:00 PM ICT,429.0
31-Jan-26 12:00:00 AM ICT,430.0
31-Jan-26 1:00:00 AM ICT,430.0
31-Jan-26 2:00:00 AM ICT,430.0
31-Jan-26 3:00:00 AM ICT,430.0
31-Jan-26 4:00:00 AM ICT,430.0
31-Jan-26 5:00:00 AM ICT,430.0
31-Jan-26 6:00:00 AM ICT,430.0
31-Jan-26 7:00:00 AM ICT,430.0
31-Jan-26 8:00:00 AM ICT,430.0
31-Jan-26 9:00:00 AM ICT,430.0
31-Jan-26 10:00:00 AM ICT,430.0
31-Jan-26 11:00:00 AM ICT,430.0
31-Jan-26 12:00:00 PM ICT,430.0
31-Jan-26 1:00:00 PM ICT,430.8
31-Jan-26 2:00:00 PM ICT,431.0
31-Jan-26 3:00:00 PM ICT,431.0
