,INFEED CONVEYER,,,,,,,,,,,,,,OUTFEED CONVEYER,,,,,,,
TIME,Capacity (Pcs/Min),,,Accumulate (Pcs/Day),,,,Belt Speed (Hz),,,,,,Operation time,Accumulate,Belt Speed (Hz),,,,,,
(hh:mm:ss),ALL,LINE 2,LINE 3,ALL,LINE 2,LINE 3,FREEZER CAPACITY,M04A,M04B,M07,M08,M09,M10,Hr.,Pcs/Day,M11,M12,M13,,,,
2:02:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:03:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:04:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:05:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:06:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:07:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:08:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:09:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:10:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:11:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:12:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:13:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:14:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:15:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:16:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:17:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:18:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:19:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:20:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:21:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:22:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:23:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:24:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:25:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:26:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:27:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:28:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:29:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
2:30:00,0,0,0,45,23,22,,25,25,100,100,60,50,26,8,25,65,65,,,,
