Timestamp,FIT104SoftWaterSupplyNo2_Flow(m³/hr)
14-Feb-26 8:30:00 AM ICT,0.9
14-Feb-26 9:00:00 AM ICT,2.7
14-Feb-26 9:30:00 AM ICT,0.8
14-Feb-26 10:00:00 AM ICT,2.6
14-Feb-26 10:30:00 AM ICT,1.8
14-Feb-26 11:00:00 AM ICT,5.4
14-Feb-26 11:30:00 AM ICT,0.9
14-Feb-26 12:00:00 PM ICT,0.9
14-Feb-26 12:30:00 PM ICT,0.7
14-Feb-26 1:00:00 PM ICT,5.4
14-Feb-26 1:30:00 PM ICT,3.2
14-Feb-26 2:00:00 PM ICT,3.7
14-Feb-26 2:30:00 PM ICT,3.2
14-Feb-26 3:00:00 PM ICT,1.3
14-Feb-26 3:30:00 PM ICT,2.5
14-Feb-26 4:00:00 PM ICT,1.3
14-Feb-26 4:30:00 PM ICT,4.3
14-Feb-26 5:00:00 PM ICT,1.3
14-Feb-26 5:30:00 PM ICT,0.2
14-Feb-26 6:00:00 PM ICT,0.9
14-Feb-26 6:30:00 PM ICT,4.5
14-Feb-26 7:00:00 PM ICT,3.1
14-Feb-26 7:30:00 PM ICT,0.0
14-Feb-26 8:00:00 PM ICT,0.0
14-Feb-26 8:30:00 PM ICT,0.0
14-Feb-26 9:00:00 PM ICT,0.6
14-Feb-26 9:30:00 PM ICT,2.9
14-Feb-26 10:00:00 PM ICT,2.9
14-Feb-26 10:30:00 PM ICT,0.1
14-Feb-26 11:00:00 PM ICT,2.6
14-Feb-26 11:30:00 PM ICT,0.0
15-Feb-26 12:00:00 AM ICT,1.1
15-Feb-26 12:30:00 AM ICT,0.0
15-Feb-26 1:00:00 AM ICT,0.0
15-Feb-26 1:30:00 AM ICT,0.0
15-Feb-26 2:00:00 AM ICT,0.0
15-Feb-26 2:30:00 AM ICT,0.0
15-Feb-26 3:00:00 AM ICT,0.0
15-Feb-26 3:30:00 AM ICT,0.0
15-Feb-26 4:00:00 AM ICT,0.0
15-Feb-26 4:30:00 AM ICT,0.0
15-Feb-26 5:00:00 AM ICT,0.0
15-Feb-26 5:30:00 AM ICT,0.0
15-Feb-26 6:00:00 AM ICT,0.0
15-Feb-26 6:30:00 AM ICT,0.0
15-Feb-26 7:00:00 AM ICT,0.0
15-Feb-26 7:30:00 AM ICT,3.7
15-Feb-26 8:00:00 AM ICT,0.0
15-Feb-26 8:30:00 AM ICT,0.3
15-Feb-26 9:00:00 AM ICT,0.0
15-Feb-26 9:30:00 AM ICT,0.0
15-Feb-26 10:00:00 AM ICT,0.0
15-Feb-26 10:30:00 AM ICT,0.0
15-Feb-26 11:00:00 AM ICT,0.0
15-Feb-26 11:30:00 AM ICT,0.0
15-Feb-26 12:00:00 PM ICT,0.0
15-Feb-26 12:30:00 PM ICT,0.0
15-Feb-26 1:00:00 PM ICT,0.1
15-Feb-26 1:30:00 PM ICT,0.4
15-Feb-26 2:00:00 PM ICT,0.0
15-Feb-26 2:30:00 PM ICT,2.7
15-Feb-26 3:00:00 PM ICT,0.0
15-Feb-26 3:30:00 PM ICT,0.0
